OrderID,Date,Customer Name,Email,Phone,Product,Quantity,Price,Total
1001,2023.01.18,Sarah,sarah@outlook.com,N/A,phone,3,500,1500.0
1002,23-01-18,Jane Doe,jane.doe@yahoo.com,987654321,Phone,1,800$,800.0
1003,2023.01.06,Anna,anna@yahoo.com,+1 234 567 8901,Camera,2,200$,400.0
1004,2023/01/27,Mike Smith,mike.smith@yahoo.com,987654321,Laptop,1,$500,500.0
1005,2023/01/18,Mike Smith,mike.smith@gmail.com,+1 234 567 8901,Headphones,three,$300,300.0
1006,23-01-10,John Doe,johndoe@hotmail,+91-98765 43210,Phone,1,$200,200.0
1007,2023/01/04,Sarah,sarah@hotmail,N/A,Laptop,1,500,
1008,06/01/2023,Robert Jr,robert.jr@hotmail,+91-98765 43210,Tablet,3,50,150.0
1009,23-01-31, ,chris.paul@outlook.com,9876543210,Headphones,three,200,200.0
1010,23-01-17,Chris Paul,chris.paul@hotmail,+1 234 567 8901,Camera,three,$50,50.0
1011,21/01/2023,Mike Smith,mike.smith@outlook.com,987654321,Tablet,three,$500,500.0
1012,2023/01/18,Katy,katy@hotmail,+91-98765 43210,Camera,three,800$,800.0
1013,23-01-2023,Chris Paul,chris.paul@gmail.com,9876543210,Tablet,3,300,900.0
1014,06-01-2023,Jane Doe,jane.doe@gmail.com,+91-98765 43210,Phone,three,200,200.0
1015,23-01-22,Tom Lee,tom.lee@hotmail,987654321,Phone,2,200,400.0
1016,30-01-2023,Mike Smith,mike.smith@yahoo.com,+1 234 567 8901,Laptop,two,300,300.0
1017,23-01-03,Sarah,sarah@yahoo.com,N/A,Tablet,2,$50,100.0
1018,23-01-31,Sarah,sarah@hotmail,+91-98765 43210,Camera,1,200,200.0
1019,2023/01/23,John Doe,john.doe@gmail.com,987654321,Headphones,three,$300,
1020,23-01-17,Tom Lee,tom.lee@hotmail,+91-98765 43210,Laptop,3,300$,900.0
1021,2023.01.12,Mike Smith,mike.smith@outlook.com,987654321,Headphones,3,$800,2400.0
1022,2023/01/04,Robert Jr,robertjr@yahoocom,987654321,Camera,3,$300,900.0
1023,2023.01.24,Tom Lee,tom.lee@hotmail,987654321,Tablet,three,200,200.0
1024,2023.01.13,Tom Lee,tomlee@gmailcom,+91-98765 43210,camera,2,800$,1600.0
1025,2023/01/16,Katy,katy@yahoocom,987654321,Laptop,3,300$,900.0
1026,10-01-2023,Chris Paul,chris.paul@gmail.com,+91-98765 43210,Camera,3,800,2400.0
1027,2023/01/19,Chris Paul,chris.paul@outlook.com,987654321,Headphones,two,800,800.0
1028,06/01/2023, ,john.doe@outlook.com,9876543210,Laptop,1,500$,500.0
1029,23-01-13,Sarah,sarah@outlook.com,N/A,Tablet,three,200,200.0
1030,2023.01.10,John Doe,john.doe@hotmail,+1 234 567 8901,Phone,three,200,
1031,06/01/2023,Jane Doe,jane.doe@gmail.com,+91-98765 43210,Laptop,2,500$,1000.0
1032,23-01-2023, ,mike.smith@gmail.com,+91-98765 43210,Tablet,1,50,50.0
1033,15/01/2023,Jane Doe,jane.doe@outlook.com,N/A,phone,1,$200,200.0
1034,01-01-2023,John Doe,john.doe@gmail.com,987654321,Headphones,three,300,
1035,23-01-15,John Doe,john.doe@hotmail,987654321,camera,1,500,500.0
1036,2023/01/21,Katy,katy@hotmail,987654321,Headphones,two,50$,50.0
1037,12-01-2023,John Doe,john.doe@yahoo.com,+1 234 567 8901,Laptop,3,300,900.0
1038,27-01-2023,Anna,anna@outlook.com,+1 234 567 8901,Phone,three,$200,200.0
1039,2023/01/16,Jane Doe,jane.doe@hotmail,+91-98765 43210,Laptop,two,800$,
1040,20/01/2023,Tom Lee,tom.lee@outlook.com,+1 234 567 8901,Phone,2,200,400.0
1041,2023.01.24,Jane Doe,jane.doe@hotmail,987654321,Laptop,2,200,400.0
1042,2023.01.25,Katy,katy@outlook.com,9876543210,Headphones,2,$300,600.0
1043,2023.01.26,Anna,anna@yahoo.com,9876543210,Camera,three,$500,
